Symbol,Description
RELIANCE,Reliance Industries Limited
BHARTIARTL,Bharti Airtel Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
SBIN,State Bank of India
TCS,Tata Consultancy Services Limited
BAJFINANCE,Bajaj Finance Limited
LT,Larsen & Toubro Limited
LICI,Life Insurance Corp. of India
HINDUNILVR,Hindustan Unilever Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
TITAN,Titan Company Limited
INFY,Infosys Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ADANIPORTS,Adani Ports & Special Economic Zone Ltd
ADANIENT,Adani Enterprises Limited
ADANIPOWER,Adani Power Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
M&M,Mahindra & Mahindra Ltd.
HCLTECH,HCL Technologies Limited
ITC,ITC Limited
ULTRACEMCO,UltraTech Cement Limited
ETERNAL,Eternal Limited
HAL,Hindustan Aeronautics Limited
NTPC,NTPC Limited
BAJAJ_AUTO,Bajaj Auto Limited
JSWSTEEL,JSW Steel Limited
BAJAJFINSV,Bajaj Finserv Limited
ONGC,Oil & Natural Gas Corp. Ltd.
BEL,Bharat Electronics Limited
NESTLEIND,Nestle India Ltd.
COALINDIA,Coal India Ltd.
DIVISLAB,Divi's Laboratories Limited
HINDZINC,Hindustan Zinc Limited
POWERGRID,Power Grid Corporation of India Limited
DMART,Avenue Supermarts Ltd.
SHRIRAMFIN,Shriram Finance Limited
ASIANPAINT,Asian Paints Ltd.
TATASTEEL,Tata Steel Limited
HINDALCO,Hindalco Industries Limited
GRASIM,Grasim Industries Ltd.
ADANIGREEN,Adani Green Energy Limited
EICHERMOT,Eicher Motors Limited
TVSMOTOR,TVS Motor Company Limited
IOC,Indian Oil Corp. Ltd.
INDIGO,InterGlobe Aviation Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
SBILIFE,SBI Life Insurance Co. Ltd.
SOLARINDS,Solar Industries India Limited
HYUNDAI,Hyundai Motor India Limited
ADANIENSOL,Adani Energy Solutions Ltd
MOTHERSON,Samvardhana Motherson International Limited
TMCV,Tata Motors Limited
WIPRO,Wipro Limited
DLF,DLF Limited
VAML,Vedanta Aluminium Metal Limited
PIDILITIND,Pidilite Industries Limited
ICICIAMC,ICICI Prudential Asset Management Company Ltd.
ABB,ABB India Limited
TECHM,Tech Mahindra Limited
JIOFIN,Jio Financial Services Limited
CHOLAFIN,Cholamandalam Investment and Finance Co. Ltd.
BHEL,Bharat Heavy Electricals Limited
TRENT,Trent Limited
IDEA,Vodafone Idea Ltd
TATACAP,Tata Capital Ltd.
VBL,Varun Beverages Ltd.
CGPOWER,CG Power & Industrial Solutions Ltd
POWERINDIA,Hitachi Energy India Limited
BOSCHLTD,Bosch Limited
CUMMINSIND,Cummins India Limited
SIEMENS,Siemens Limited
PNB,Punjab National Bank
BPCL,Bharat Petroleum Corporation Limited
UNIONBANK,Union Bank of India Limited
BSE,BSE Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Limited
LTM,LTM Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited.
POLYCAB,Polycab India Ltd.
HDFCLIFE,HDFC Life Insurance Co. Ltd.
BANKBARODA,Bank of Baroda
BRITANNIA,Britannia Industries Ltd
GROWW,Billionbrains Garage Ventures Limited
LENSKART,Lenskart Solutions Limited
TATAPOWER,Tata Power Company Limited
PAYTM,One 97 Communications Ltd.
ZYDUSLIFE,Zydus Lifesciences Limited
JINDALSTEL,Jindal Steel Limited
MUTHOOTFIN,Muthoot Finance Ltd
ENRIN,Siemens Energy India Limited
LODHA,Lodha Developers Ltd.
PFC,Power Finance Corporation Limited
GAIL,GAIL (India) Limited
INDIANB,Indian Bank
SBIFUNDS,SBI Funds Management Limited
LGEINDIA,LG Electronics India Limited
CANBK,Canara Bank
GVT&D,GE Vernova T&D India Limited
CIPLA,Cipla Ltd
TMPV,Tata Motors Passenger Vehicles Ltd
ABCAPITAL,Aditya Birla Capital Ltd.
LAURUSLABS,Laurus Labs Ltd.
HEROMOTOCO,Hero Motocorp Limited
MARICO,Marico Limited
INDHOTEL,Indian Hotels Co. Ltd.
IRFC,Indian Railway Finance Corp. Ltd.
HDFCAMC,HDFC Asset Management Co. Ltd.
GMRAIRPORT,GMR Airports Ltd
MAXHEALTH,Max Healthcare Institute Ltd
LLOYDSME,Lloyds Metals & Energy Ltd.
UNITDSPR,United Spirits Limited
VEDL,Vedanta Limited
MEESHO,Meesho Limited
MANKIND,Mankind Pharma Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
INDUSTOWER,Indus Towers Limited
TATACONSUM,Tata Consumer Products Limited
AUROPHARMA,Aurobindo Pharma Ltd
MANIPALHOS,Manipal Health Enterprises Limited
AMBUJACEM,Ambuja Cements Limited
LUPIN,Lupin Limited
NYKAA,FSN E-Commerce Ventures Ltd.
ASHOKLEY,Ashok Leyland Limited
OFSS,Oracle Financial Services Software Limited
JSWENERGY,JSW Energy Limited
BHARATFORG,Bharat Forge Ltd
MAZDOCK,Mazagon Dock Shipbuilders Ltd.
IDBI,IDBI Bank Limited
GODREJCP,Godrej Consumer Products Limited
PERSISTENT,Persistent Systems Limited
NAUKRI,Info Edge India Ltd.
POLICYBZR,PB Fintech Limited
RECLTD,REC Limited
DIXON,Dixon Technologies (India) Ltd.
MCX,Multi Commodity Exchange of India Limited
SHREECEM,Shree Cement Limited
JSWINFRA,JSW Infrastructure Limited
FEDERALBNK,Federal Bank Ltd. (India)
COFORGE,Coforge Limited
APARINDS,APAR Industries Limited
AUBANK,AU Small Finance Bank Limited
OIL,Oil India Limited
LTF,L&T Finance Ltd
NTPCGREEN,NTPC Green Energy Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
NHPC,NHPC Limited
BHARTIHEXA,Bharti Hexacom Limited
SRF,Srf Limited
SWIGGY,Swiggy Limited
ICICIGI,ICICI Lombard General Insurance Co. Ltd.
INDUSINDBK,IndusInd Bank Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
NAM_INDIA,Nippon Life India Asset Management Ltd.
SAIL,Steel Authority of India Limited
WELCORP,Welspun Corp Limited
YESBANK,Yes Bank Limited
WAAREEENER,WAAREE Energies Limited
ICICIPRULI,ICICI Prudential Life Insurance Co. Ltd.
UNOMINDA,UNO Minda Limited
NMDC,NMDC Limited
ATGL,Adani Total Gas Ltd.
BAJAJHFL,Bajaj Housing Finance Ltd.
PIRAMALFIN,Piramal Finance Limited
GLENMARK,Glenmark Pharmaceuticals Limited
PHOENIXLTD,Phoenix Mills Ltd.
DABUR,Dabur India Limited
HAVELLS,Havells India Limited
FORTIS,Fortis Healthcare Ltd.
OBEROIRLTY,Oberoi Realty Limited
ASTERDM,Aster DM Quality Care Limited
NATIONALUM,National Aluminium Co. Ltd.
SCHAEFFLER,Schaeffler India Ltd
BIOCON,Biocon Limited
ALKEM,Alkem Laboratories Ltd.
TORNTPOWER,Torrent Power Limited
PRESTIGE,Prestige Estates Projects Limited
MAHABANK,Bank of Maharashtra
BANKINDIA,Bank of India
ATHERENERG,Ather Energy Limited
RBLBANK,RBL Bank Ltd.
JSL,Jindal Stainless Limited
IOB,Indian Overseas Bank
GICRE,General Insurance Corporation of India
APLAPOLLO,APL Apollo Tubes Limited
SBICARD,SBI Cards & Payment Services Ltd
KALYANKJIL,Kalyan Jewellers India Ltd.
RADICO,Radico Khaitan Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
SUZLON,Suzlon Energy Ltd
INDOMIM,INDO-MIM Limited
ABBOTINDIA,Abbott India Limited
COROMANDEL,Coromandel International Limited
HDBFS,HDB Financial Services Limited
MFSL,Max Financial Services Limited
LINDEINDIA,Linde India Ltd.
MRF,MRF Limited
BERGEPAINT,Berger Paints India Limited
AEGISLOG,Aegis Logistics Limited
FACT,Fertilizers & Chemicals Travancore Ltd.
SUNDARMFIN,Sundaram Finance Limited
ANTHEM,Anthem Biosciences Limited
COLPAL,Colgate-Palmolive (India) Limited
GODREJPROP,Godrej Properties Limited
IPCALAB,IPCA Laboratories Limited
KRT.RR,Knowledge Realty Trust
FLUOROCHEM,Gujarat Fluorochemicals Ltd.
TIINDIA,Tube Investments of India Limited
SONACOMS,Sona BLW Precision Forgings Ltd.
TATACOMM,Tata Communications Limited
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
HINDCOPPER,Hindustan Copper Ltd
GLAND,Gland Pharma Ltd.
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
VMM,Vishal Mega Mart Ltd.
AIIL,Authum Investment & Infrastucture Ltd
UPL,UPL Limited
SUPREMEIND,Supreme Industries Limited
AJANTPHARM,Ajanta Pharma Limited
KEI,KEI Industries Limited
MPHASIS,Mphasis Limited
360ONE,360 One Wam Limited
RVNL,Rail Vikas Nigam Ltd.
NAVINFLUOR,Navin Fluorine International Limited
PATANJALI,Patanjali Foods Limited
BDL,Bharat Dynamics Ltd.
PETRONET,Petronet Lng Limited
BALKRISIND,Balkrishna Industries Limited
THERMAX,Thermax Limited.
EMBASSY.RR,Embassy Office Parks REIT
STLTECH,Sterlite Technologies Limited
POONAWALLA,Poonawalla Fincorp Limited
PREMIERENE,Premier Energies Limited
CPPLUS,Aditya Infotech Limited
MEDANTA,Global Health Limited
PAGEIND,Page Industries Limited
JKCEMENT,J.K. Cement Ltd.
PWL,PhysicsWallah Ltd.
3MINDIA,3M India Limited
ENDURANCE,Endurance Technologies Ltd.
NH,Narayana Hrudayalaya Ltd.
KPRMILL,K.P.R. Mill Limited
EMCURE,Emcure Pharmaceuticals Limited
ASTRAL,Astral Limited
VOLTAS,Voltas Limited
IRCTC,Indian Railway Catering & Tourism Corp. Ltd.
CONCOR,Container Corporation of India Limited
GODREJIND,Godrej Industries Limited
BAGMANE.RR,Bagmane Prime Office REIT
NLCINDIA,NLC India Limited
EXIDEIND,Exide Industries Limited
AIAENG,AIA Engineering Limited
ANANDRATHI,Anand Rathi Wealth Ltd.
COCHINSHIP,Cochin Shipyard Limited
NHIT,National Highways Infra Trust Units
WOCKPHARMA,Wockhardt Limited
PIIND,PI Industries Limited
AEGISVOPAK,Aegis Vopak Terminals Limited
LTTS,L&T Technology Services Ltd.
HUDCO,Housing & Urban Development Corp. Ltd.
TATAINVEST,Tata Investment Corporation Limited
SAILIFE,SAI Life Sciences Ltd.
HSCL,Himadri Speciality Chemical Ltd.
CUPID,Cupid Limited
CRISIL,CRISIL Limited
MINDSPACE.RR,Mindspace Business Parks REIT
PTCIL,PTC Industries Ltd
KIMS,Krishna Institute of Medical Sciences Limited
DALBHARAT,Dalmia Bharat Ltd.
SYRMA,Syrma SGS Technology Limited
HFCL,HFCL Limited
DELHIVERY,Delhivery Limited
ITCHOTELS,ITC Hotels Ltd
UBL,United Breweries Limited
ACMESOLAR,ACME Solar Holdings Ltd.
DHOOTTRANS,Dhoot Transmission Limited
BLUESTARCO,Blue Star Limited
LALPATHLAB,Dr. Lal PathLabs Limited
